protein_id_3610	PS	assembly_3610	seq_type_3610	chromosome_3610	genomic_accession_3610	start_3610	end_3610	strand_3610	name_3610	symbol_3610	locus_tag_3610	feature_interval_length_3610	product_length_3610	protein_id_168	assembly_168	seq_type_168	chromosome_168	genomic_accession_168	start_168	end_168	strand_168	name_168	symbol_168	locus_tag_168	feature_interval_length_168	product_length_168	symbol_168	category	syn_name	synonyms	operons
AQZ89865.1	10	GCA_002055965.1	chromosome		CP020102.1	1045075	1045236	+	hypothetical protein	yheJ	B4U62_05440	162	53	CAB12809.1	GCA_000009045.1	chromosome	NA	AL009126.3	1045037	1045198	+	regulator leader peptide	bmrB	BSU_09700	162	53	bmrB	Information processing#Regulation of gene expression#Other regulators	bmrB	bmrB;yheJ	bmrB→bmrD
AQZ89043.1	1	GCA_002055965.1	chromosome		CP020102.1	142010	142408	+	30S ribosomal protein S8	rpsH	B4U62_00800	399	132	CAB11906.2	GCA_000009045.1	chromosome	NA	AL009126.3	141974	142372	+	ribosomal protein S8 (BS8)	rpsH	BSU_01300	399	132	rpsH	Information processing#Protein synthesis, modification and degradation#Translation#Ribosomal proteins;Groups of genes#Essential genes;Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue;Groups of genes#Universally conserved proteins	rpsH	rpsH	rpsJ→rplQ
AQZ92682.1	1	GCA_002055965.1	chromosome		CP020102.1	3902250	3903689	-	sucrose-6-phosphate hydrolase	sacA	B4U62_20475	1440	479	CAB15830.2	GCA_000009045.1	chromosome	NA	AL009126.3	3902210	3903649	-	sucrose-6-phosphate hydrolase	sacA	BSU_38040	1440	479	sacA	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of sucrose	sacA	sacA;ipa-50d	sacP→ywdA
AQZ90305.1	2	GCA_002055965.1	chromosome		CP020102.1	1484497	1485015	+	hypothetical protein	ykuK	B4U62_07795	519	172	CAB13284.1	GCA_000009045.1	chromosome	NA	AL009126.3	1484466	1484984	+	putative RNA-binding enzyme component	ykuK	BSU_14110	519	172	ykuK	Groups of genes#Proteins of unknown function	ykuK	ykuK	ykuJ→ccpC
AQZ91415.1	2	GCA_002055965.1	chromosome		CP020102.1	2608968	2609735	-	DNA repair protein RecO	recO	B4U62_13650	768	255	CAB14457.2	GCA_000009045.1	chromosome	NA	AL009126.3	2608946	2609713	-	DNA double strand break repair and homologous recombination factor	recO	BSU_25280	768	255	recO	Information processing#Genetics#DNA repair/ recombination;Information processing#Genetics#DNA repair/ recombination#Other proteins	recO	recO;yqxN;yqfI	cdd→recO
AQZ90827.1	1	GCA_002055965.1	chromosome		CP020102.1	2102201	2104099	+	sporulenol synthase	sqhC	B4U62_10535	1899	632	CAB13824.2	GCA_000009045.1	chromosome	NA	AL009126.3	2102168	2104066	+	squalene-hopene cyclase, sporulenol synthase (spore protection)	sqhC	BSU_19320	1899	632	sqhC	Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other;Lifestyles#Coping with stress#Resistance against oxidative and electrophile stress	sqhC	sqhC	sqhC→sodF
AQZ92275.1	1	GCA_002055965.1	chromosome		CP020102.1	3481712	3482719	-	aldehyde dehydrogenase	gapA	B4U62_18320	1008	335	CAB15399.1	GCA_000009045.1	chromosome	NA	AL009126.3	3481698	3482705	-	glyceraldehyde-3-phosphate dehydrogenase (NAD-dependent, glycolytic)	gapA	BSU_33940	1008	335	gapA	Metabolism#Carbon metabolism#Carbon core metabolism#Glycolysis;Groups of genes#Essential genes;Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue;Groups of genes#Phosphoproteins#Phosphorylation on either a Ser, Thr or Tyr residue	gapA	gapA	cggR→eno, cggR→gapA
AQZ92838.1	3	GCA_002055965.1	chromosome		CP020102.1	4068227	4068574	-	hypothetical protein	yxeA	B4U62_21290	348	115	CAB15998.1	GCA_000009045.1	chromosome	NA	AL009126.3	4068189	4068536	-	conserved protein of unknown function	yxeA	BSU_39620	348	115	yxeA	Groups of genes#Proteins of unknown function	yxeA	yxeA	yxdL→yxeA
AQZ89680.1	4	GCA_002055965.1	chromosome		CP020102.1	848672	850213	-	spore germination protein	yfkQ	B4U62_04385	1542	513	CAB12608.1	GCA_000009045.1	chromosome	NA	AL009126.3	848633	850174	-	putative spore germination protein	yfkQ	BSU_07790	1542	513	yfkQ	Lifestyles#Sporulation#Germination/ based on similarity;Groups of genes#Membrane proteins	yfkQ	yfkQ	yfkQ→yfkT
AQZ90663.1	4	GCA_002055965.1	chromosome		CP020102.1	1907526	1909088	+	spore germination protein	yndD	B4U62_09660	1563	520	CAB13659.1	GCA_000009045.1	chromosome	NA	AL009126.3	1907494	1909056	+	spore germination receptor subunit	yndD	BSU_17750	1563	520	yndD	Lifestyles#Sporulation#Germination/ based on similarity;Groups of genes#Membrane proteins	yndD	yndD	yndD→yndF
AQZ93122.1	1	GCA_002055965.1	chromosome		CP020102.1	3313785	3314843	-	threonine synthase	thrC	B4U62_17415	1059	352	CAB15215.1	GCA_000009045.1	chromosome	NA	AL009126.3	3313770	3314828	-	threonine synthase	thrC	BSU_32250	1059	352	thrC	Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids#Biosynthesis/ acquisition of lysine/ threonine	thrC	thrC;thrB	yutH→thrB, hom→thrB
AQZ90783.1	9	GCA_002055965.1	chromosome		CP020102.1	2059723	2059896	-	hypothetical protein	yozW	B4U62_10290	174	57	CAX52632.1	GCA_000009045.1	chromosome	NA	AL009126.3	2059691	2059864	-	"hypothetical protein; putative defective prophage 6"	yozW	BSU_18898	174	57	yozW	Groups of genes#Proteins of unknown function	yozW	yozW	NA
AQZ91050.1	1	GCA_002055965.1	chromosome		CP020102.1	2266968	2267381	-	thioredoxin	bdbA	B4U62_11675	414	137	CAB14064.1	GCA_000009045.1	chromosome	NA	AL009126.3	2266936	2267349	-	bacteriophage SPbeta thiol-disulfide oxidoreductase	bdbA	BSU_21460	414	137	bdbA	Information processing#Protein synthesis, modification and degradation#Chaperones/ protein folding;Prophages and mobile genetic elements#Prophages#SP-beta prophage;Groups of genes#Secreted proteins	bdbA	bdbA;yolI	sunA→bdbB
AQZ90767.1	2	GCA_002055965.1	chromosome		CP020102.1	2044070	2044864	+	hypothetical protein	yoaT	B4U62_10200	795	264	CAB13767.1	GCA_000009045.1	chromosome	NA	AL009126.3	2044038	2044832	+	putative integral inner membrane protein	yoaT	BSU_18750	795	264	yoaT	Groups of genes#Membrane proteins;Groups of genes#Proteins of unknown function	yoaT	yoaT	yoaS→yoaV
AQZ90472.1	2	GCA_002055965.1	chromosome		CP020102.1	1656473	1658134	+	hypothetical protein	yloV	B4U62_08675	1662	553	CAB13457.1	GCA_000009045.1	chromosome	NA	AL009126.3	1656442	1658103	+	putative enzyme structurally related to dihydroxyacetone/glyceraldehyde kinase	yloV	BSU_15840	1662	553	yloV	Metabolism#Lipid metabolism#Biosynthesis of lipids#Biosynthesis of phospholipids;Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue	yloV	yloV	yloU→yloV
AQZ93201.1	3	GCA_002055965.1	plasmid	pBS32	CP020103.1	44628	45662	+	hypothetical protein		B4U62_22370	1035	344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQZ93036.1	1	GCA_002055965.1	chromosome		CP020102.1	1258525	1259646	+	cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase	yjcI	B4U62_06565	1122	373	CAB13044.1	GCA_000009045.1	chromosome	NA	AL009126.3	1258492	1259613	+	cystathionine gamma-synthase and O-acetylhomoserine thiolyase	metI	BSU_11870	1122	373	metI	Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids#Biosynthesis/ acquisition of methionine/ S-adenosylmethionine	metI	metI;yjcI	metI→metC
AQZ91294.1	1	GCA_002055965.1	chromosome		CP020102.1	2492051	2492818	-	arginine ABC transporter substrate-binding protein	artP	B4U62_12995	768	255	CAB14329.1	GCA_000009045.1	chromosome	NA	AL009126.3	2492029	2492796	-	high affinity arginine ABC transporter binding lipoprotein	artP	BSU_23980	768	255	artP	Cellular processes#Transporters#ABC transporters#Importers#Uptake of amino acids;Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids#Biosynthesis/ acquisition of arginine;Groups of genes#Membrane proteins;Groups of genes#Secreted proteins	artP	artP;yqiX	artP→artR
AQZ91076.1	7	GCA_002055965.1	chromosome		CP020102.1	2290110	2290304	-	hypothetical protein	ypmT	B4U62_11810	195	64	CAB14090.1	GCA_000009045.1	chromosome	NA	AL009126.3	2290078	2290272	-	conserved hypothetical protein	ypmT	BSU_21720	195	64	ypmT	Groups of genes#Membrane proteins;Groups of genes#Proteins of unknown function	ypmT	ypmT	sco→ypmT, ypmT, ypmR→ypmT
AQZ91389.1	1	GCA_002055965.1	chromosome		CP020102.1	2579738	2580667	-	ABC transporter permease	pstC	B4U62_13500	930	309	CAB14428.2	GCA_000009045.1	chromosome	NA	AL009126.3	2579717	2580646	-	phosphate ABC transporter (permease)	pstC	BSU_24980	930	309	pstC	Cellular processes#Transporters#ABC transporters#Importers#Uptake of ions;Metabolism#Additional metabolic pathways#Phosphate metabolism;Groups of genes#Membrane proteins	pstC	pstC;yqgH;yzmC	pstS→pstBB
AQZ89122.1	6	GCA_002055965.1	chromosome		CP020102.1	230863	231123	-	hypothetical protein	ybyB	B4U62_01305	261	86	CAB12005.1	GCA_000009045.1	chromosome	NA	AL009126.3	230819	231079	-	conserved protein of unknown function	ybyB	BSU_02110	261	86	ybyB	Lifestyles#Coping with stress#General stress proteins (controlled by SigB)	ybyB	ybyB	ybyB
AQZ89518.1	1	GCA_002055965.1	chromosome		CP020102.1	667508	668569	+	sorbitol dehydrogenase	gutB	B4U62_03540	1062	353	CAB12434.1	GCA_000009045.1	chromosome	NA	AL009126.3	667466	668527	+	glucitol (sorbitol) dehydrogenase	gutB	BSU_06150	1062	353	gutB	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of glucitol	gutB	gutB	gutB→fruC
AQZ93245.1	2	GCA_002055965.1	plasmid	pBS32	CP020103.1	28363	28734	-	hypothetical protein		B4U62_22250	372	123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AQZ92967.1	1	GCA_002055965.1	chromosome		CP020102.1	4194428	4195783	+	MFS transporter	yyaJ	B4U62_21980	1356	451	CAB16121.2	GCA_000009045.1	chromosome	NA	AL009126.3	4194389	4195744	+	putative transporter	yyaJ	BSU_40840	1356	451	yyaJ	Groups of genes#Membrane proteins;Groups of genes#Proteins of unknown function	yyaJ	yyaJ	yyaJ
AQZ90928.1	9	GCA_002055965.1	chromosome		CP020102.1	2173988	2174143	-	hypothetical protein	yorQ	B4U62_11060	156	51	CAB13921.1	GCA_000009045.1	chromosome	NA	AL009126.3	2173956	2174111	-	"conserved hypothetical protein; phage SPbeta"	yorQ	BSU_20290	156	51	yorQ	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yorQ	yorQ	NA
AQZ90453.1	1	GCA_002055965.1	chromosome		CP020102.1	1637996	1640668	+	calcium-transporting ATPase	yloB	B4U62_08580	2673	890	CAB13439.1	GCA_000009045.1	chromosome	NA	AL009126.3	1637965	1640637	+	P-type calcium transport ATPase (sporulation)	tcaB	BSU_15650	2673	890	yloB	Cellular processes#Homeostasis#Metal ion homeostasis (K, Na, Ca, Mg)#Metal ion homeostasis/ Other;Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other;Groups of genes#Membrane proteins	yloB	yloB	yloB->yloH
AQZ91720.1	1	GCA_002055965.1	chromosome		CP020102.1	2892155	2893711	-	2-isopropylmalate synthase	leuA	B4U62_15250	1557	518	CAB14788.1	GCA_000009045.1	chromosome	NA	AL009126.3	2892138	2893694	-	2-isopropylmalate synthase	leuA	BSU_28280	1557	518	leuA	Metabolism#Amino acid/ nitrogen metabolism#Biosynthesis/ acquisition of amino acids#Biosynthesis/ acquisition of branched-chain amino acids;Groups of genes#Membrane proteins	leuA	leuA	ilvB→leuD
AQZ89812.1	8	GCA_002055965.1	chromosome		CP020102.1	988455	988910	-	hypothetical protein	yhcM	B4U62_05170	456	151	CAB12742.1	GCA_000009045.1	chromosome	NA	AL009126.3	988417	988872	-	expressed protein of unknown function	yhcM	BSU_09140	456	151	yhcM	Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other;Lifestyles#Coping with stress#General stress proteins (controlled by SigB)	yhcM	yhcM	yhcM
AQZ90443.1	1	GCA_002055965.1	chromosome		CP020102.1	1628653	1629372	+	orotidine 5'-phosphate decarboxylase	pyrF	B4U62_08530	720	239	CAB13429.1	GCA_000009045.1	chromosome	NA	AL009126.3	1628622	1629341	+	orotidine 5'-phosphate decarboxylase	pyrF	BSU_15550	720	239	pyrF	Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides#Biosynthesis/ acquisition of pyrimidine nucleotides;Information processing#Genetics#Newly identified competence genes	pyrF	pyrF	pyrR→pyrE
AQZ90907.1	4	GCA_002055965.1	chromosome		CP020102.1	2166004	2166357	-	hypothetical protein	yosL	B4U62_10955	354	117	CAB13900.1	GCA_000009045.1	chromosome	NA	AL009126.3	2165972	2166325	-	"conserved protein of unknown function; phage SPbeta"	yosL	BSU_20080	354	117	yosL	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yosL	yosL	NA
AQZ90548.1	1	GCA_002055965.1	chromosome		CP020102.1	1732312	1733427	+	transcription termination/antitermination protein NusA	nusA	B4U62_09060	1116	371	CAB13533.1	GCA_000009045.1	chromosome	NA	AL009126.3	1732281	1733396	+	transcription translation coupling factor involved in Rho-dependent transcription termination	nusA	BSU_16600	1116	371	nusA	Information processing#RNA synthesis and degradation#Transcription#Transcription elongation/ termination;Groups of genes#Essential genes	nusA	nusA	ylxS→rbfA
AQZ90807.1	2	GCA_002055965.1	chromosome		CP020102.1	2086102	2086638	-	hypothetical protein	yozB	B4U62_10430	537	178	CAB13806.1	GCA_000009045.1	chromosome	NA	AL009126.3	2086070	2086606	-	putative integral inner membrane protein	yozB	BSU_19140	537	178	yozB	Groups of genes#Proteins of unknown function	yozB	yozB	yozB
AQZ90897.1	9	GCA_002055965.1	chromosome		CP020102.1	2158152	2158319	-	hypothetical protein	yojW	B4U62_10900	168	55	CAX52644.1	GCA_000009045.1	chromosome	NA	AL009126.3	2158120	2158287	-	hypothetical protein	yojW	BSU_19999	168	55	yojW	Prophages and mobile genetic elements#Prophages#SP-beta prophage	yojW	yojW	NA
AQZ89144.1	1	GCA_002055965.1	chromosome		CP020102.1	253562	254806	-	glutamate:protein symporter	gltP	B4U62_01425	1245	414	CAB12028.1	GCA_000009045.1	chromosome	NA	AL009126.3	253518	254762	-	proton/glutamate symport protein	gltP	BSU_02340	1245	414	gltP	Cellular processes#Transporters#Transporters/ other#Amino acid transporters#Other amino acid transporters;Groups of genes#Membrane proteins	gltP	gltP	gltP
AQZ92723.1	1	GCA_002055965.1	chromosome		CP020102.1	3948594	3949961	+	aminopeptidase YwaD	ywaD	B4U62_20695	1368	455	CAB15873.1	GCA_000009045.1	chromosome	NA	AL009126.3	3948555	3949922	+	exported double-zinc aminopeptidase	eapD	BSU_38470	1368	455	ywaD	Groups of genes#Poorly characterized/ putative enzymes;Groups of genes#Secreted proteins	ywaD	ywaD;ipa-8r	ywaD
AQZ89499.1	1	GCA_002055965.1	chromosome		CP020102.1	646624	647136	+	cyclic pyranopterin monophosphate synthase MoaC	moaC	B4U62_03425	513	170	CAB12415.1	GCA_000009045.1	chromosome	NA	AL009126.3	646582	647094	+	molybdenum cofactor biosynthesis protein C	moaC	BSU_05960	513	170	ydiG	Metabolism#Additional metabolic pathways#Biosynthesis of cofactors#Biosynthesis of molybdopterin	ydiG	ydiG	ydiG→tatCY
AQZ89293.1	1	GCA_002055965.1	chromosome		CP020102.1	436077	437495	-	MFS transporter	ycnB	B4U62_02220	1419	472	CAB12192.1	GCA_000009045.1	chromosome	NA	AL009126.3	436036	437454	-	putative efflux transporter	ycnB	BSU_03840	1419	472	ycnB	Cellular processes#Transporters#Transporters/ other#Other exporters;Metabolism#Nucleotide metabolism#Metabolism of signalling nucleotides;Groups of genes#Membrane proteins	ycnB	ycnB	ycnC→ycnB
AQZ91711.1	1	GCA_002055965.1	chromosome		CP020102.1	2879911	2880486	-	YihA family ribosome biogenesis GTP-binding protein	engB	B4U62_15205	576	191	CAB14779.1	GCA_000009045.1	chromosome	NA	AL009126.3	2879882	2880469	-	GTPase involved in ribosome 50S subunit assembly (maturation of the central 50S protuberance)	engB	BSU_28190	588	195	ysxC	Information processing#Protein synthesis, modification and degradation#Translation#Ribosome assembly;Groups of genes#Essential genes;Groups of genes#GTP-binding proteins	ysxC	ysxC;orfX	lonA→ysxC
AQZ91328.1	1	GCA_002055965.1	chromosome		CP020102.1	2531739	2532218	-	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	accB	B4U62_13175	480	159	CAB14366.1	GCA_000009045.1	chromosome	NA	AL009126.3	2531718	2532197	-	acetyl-CoA carboxylase subunit (biotin carboxyl carrier subunit)	accB	BSU_24350	480	159	accB	Metabolism#Lipid metabolism#Biosynthesis of lipids#Biosynthesis of fatty acids;Groups of genes#Essential genes	accB	accB;fabE;yqhW	accB→yqhY
AQZ92889.1	2	GCA_002055965.1	chromosome		CP020102.1	4122657	4122887	-	PTS sugar transporter subunit IIA	yyzE	B4U62_21545	231	76	CAB16049.1	GCA_000009045.1	chromosome	NA	AL009126.3	4122619	4122849	-	glucose phosphotransferase system enzyme IIA component	ptsJ	BSU_40120	231	76	yyzE	Cellular processes#Transporters#Phosphotransferase system#Sugar specific PTS proteins;Groups of genes#Phosphoproteins#Phosphorylation on a His residue	yyzE	yyzE	yyzE→bglA
AQZ91559.1	1	GCA_002055965.1	chromosome		CP020102.1	2723912	2724847	-	H+/K+ antiporter	czcD	B4U62_14390	936	311	CAB14606.1	GCA_000009045.1	chromosome	NA	AL009126.3	2723892	2724827	-	potassium/proton-divalent cation antiporter	czcD	BSU_26650	936	311	czcD	Cellular processes#Transporters#Transporters/ other#Metal ion transporter;Cellular processes#Homeostasis#Trace metal homeostasis (Cu, Zn, Ni, Mn, Mo)#Zinc;Lifestyles#Coping with stress#Resistance against toxic metals;Groups of genes#Membrane proteins	czcD	czcD;yrdO	czcD→czcO
AQZ91993.1	1	GCA_002055965.1	chromosome		CP020102.1	3188430	3189098	+	Ktr system potassium uptake protein A	ktrA	B4U62_16810	669	222	CAB15087.1	GCA_000009045.1	chromosome	NA	AL009126.3	3188414	3189082	+	potassium uptake protein	ktrA	BSU_31090	669	222	ktrA	Cellular processes#Transporters#Transporters/ other#Metal ion transporter;Cellular processes#Homeostasis#Metal ion homeostasis (K, Na, Ca, Mg)#Potassium uptake/ export;Information processing#Targets of second messengers#Targets of c-di-AMP;Lifestyles#Coping with stress#Coping with hyper-osmotic stress;Groups of genes#Membrane proteins	ktrA	ktrA;yuaA	ktrA→ktrB
AQZ90554.1	1	GCA_002055965.1	chromosome		CP020102.1	1736917	1737846	+	tRNA pseudouridine(55) synthase TruB	truB	B4U62_09090	930	309	CAB13539.1	GCA_000009045.1	chromosome	NA	AL009126.3	1736886	1737815	+	tRNA pseudouridine 55 synthase	truB	BSU_16660	930	309	truB	Information processing#Protein synthesis, modification and degradation#Translation#tRNA modification and maturation	truB	truB;ylxN;ymxF	NA
AQZ92908.1	4	GCA_002055965.1	chromosome		CP020102.1	4137664	4138827	-	hypothetical protein	yycP	B4U62_21640	1164	387	CAB16064.2	GCA_000009045.1	chromosome	NA	AL009126.3	4137626	4138789	-	conserved hypothetical protein	yycP	BSU_40270	1164	387	yycP	Lifestyles#Sporulation#Sporulation proteins#Newly identified sporulation proteins (based on transcription profiling)	yycP	yycP	yycO→yycQ
AQZ93136.1	2	GCA_002055965.1	chromosome		CP020102.1	3641137	3641826	-	competence protein ComF	comFC	B4U62_19095	690	229	CAB15562.2	GCA_000009045.1	chromosome	NA	AL009126.3	3641125	3641847	-	component of the DNA transport apparatus	comFC	BSU_35450	723	240	comFC	Information processing#Genetics#Genetic competence;Lifestyles#Exponential and early post-exponential lifestyles#Genetic competence;Groups of genes#Phosphoproteins#Phosphorylation on an Arg residue	comFC	comFC	comFA→csrA
AQZ92406.1	7	GCA_002055965.1	chromosome		CP020102.1	3631775	3632152	-	hypothetical protein	yvzG	B4U62_19025	378	125	CAX52698.1	GCA_000009045.1	chromosome	NA	AL009126.3	3631763	3632140	-	conserved protein of unknown function	yvzG	BSU_35319	378	125	smiA	Lifestyles#Exponential and early post-exponential lifestyles#Motility and chemotaxis#Signal transduction in motility and chemotaxis#Additional chemotaxis signal transduction and regulatory proteins	smiA	smiA;yvzG	yvyC->hpf
AQZ90653.1	1	GCA_002055965.1	chromosome		CP020102.1	1902251	1903090	+	Thymidylate synthase 1	thyA	B4U62_09610	840	279	CAB13652.1	GCA_000009045.1	chromosome	NA	AL009126.3	1902219	1903058	+	thymidylate synthase A (phage origin)	thyA	BSU_17680	840	279	thyA	Metabolism#Nucleotide metabolism#Biosynthesis/ acquisition of nucleotides#Biosynthesis/ acquisition of pyrimidine nucleotides	thyA	thyA	thyA
AQZ91759.1	4	GCA_002055965.1	chromosome		CP020102.1	2931709	2931924	+	small' acid-soluble spore protein I	sspI	B4U62_15460	216	71	CAB14826.1	GCA_000009045.1	chromosome	NA	AL009126.3	2931692	2931907	+	small acid-soluble spore protein	sspI	BSU_28660	216	71	sspI	Lifestyles#Sporulation#Sporulation proteins#Small acid-soluble spore proteins	sspI	sspI;ysfA	sspI
AQZ88916.1	2	GCA_002055965.1	chromosome		CP020102.1	3244	3459	+	hypothetical protein	yaaA	B4U62_00015	216	71	CAB11779.1	GCA_000009045.1	chromosome	NA	AL009126.3	3206	3421	+	RNA binding protein involved in ribosome maturation	rlbA	BSU_00030	216	71	yaaA	Information processing#Protein synthesis, modification and degradation#Translation#Ribosome assembly	yaaA	yaaA,;rlbA	yaaA→gyrA
AQZ92014.1	1	GCA_002055965.1	chromosome		CP020102.1	3214388	3216052	-	oligo-1'6-glucosidase 3	yugT	B4U62_16925	1665	554	CAB15118.2	GCA_000009045.1	chromosome	NA	AL009126.3	3214372	3216036	-	putative oligo-1,6-glucosidase	yugT	BSU_31290	1665	554	yugT	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of other polymeric carbohydrates;Lifestyles#Sporulation#Sporulation proteins#Newly identified sporulation proteins (based on transcription profiling)	yugT	yugT	yugT
AQZ89608.1	3	GCA_002055965.1	chromosome		CP020102.1	769527	770153	+	hypothetical protein	yesV	B4U62_04010	627	208	CAB12523.1	GCA_000009045.1	chromosome	NA	AL009126.3	769487	770113	+	putative integral inner membrane component	yesV	BSU_07040	627	208	yesV	Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of pectin	yesV	yesV	rhgR→yesZ
AQZ92625.1	8	GCA_002055965.1	chromosome		CP020102.1	3847170	3847289	+	phosphatase RapF inhibitor	phrF	B4U62_20180	120	39	CAB15774.1	GCA_000009045.1	chromosome	NA	AL009126.3	3847130	3847249	+	secreted regulator of the activity of phosphatase RapF	phrF	BSU_37470	120	39	phrF	Information processing#Genetics#Genetic competence;Information processing#Regulation of gene expression#Transcription factors and their control#Control of two-component response regulators#Control of response regulators/ other;Information processing#Regulation of gene expression#Quorum sensing;Lifestyles#Exponential and early post-exponential lifestyles#Genetic competence;Groups of genes#Short peptides	phrF	phrF;ywhI	rapF→phrF, phrF
AQZ89481.1	8	GCA_002055965.1	chromosome		CP020102.1	622335	622832	-	DUF4944 domain-containing protein	ydhH	B4U62_03290	498	165	CAB12395.1	GCA_000009045.1	chromosome	NA	AL009126.3	622293	622790	-	conserved hypothetical protein	ydhH	BSU_05760	498	165	ydhH	Groups of genes#Membrane proteins;Groups of genes#Proteins of unknown function	ydhH	ydhH	ydhI->ydhH
AQZ89306.1	1	GCA_002055965.1	chromosome		CP020102.1	451226	451657	+	mannitol-specific phosphotransferase enzyme IIA component	mtlF	B4U62_02295	432	143	CAX52549.1	GCA_000009045.1	chromosome	NA	AL009126.3	451185	451616	+	phosphotransferase system (PTS) mannitol-specific enzyme IIA component	mtlF	BSU_03982	432	143	mtlF	Cellular processes#Transporters#Phosphotransferase system#Sugar specific PTS proteins;Metabolism#Carbon metabolism#Utilization of specific carbon sources#Utilization of mannitol;Groups of genes#Phosphoproteins#Phosphorylation on a His residue	mtlF	mtlF	mtlA→mtlD
AQZ92396.1	1	GCA_002055965.1	chromosome		CP020102.1	3618377	3618946	+	TetR family transcriptional regulator	yvkB	B4U62_18965	570	189	CAB15537.1	GCA_000009045.1	chromosome	NA	AL009126.3	3618364	3618933	+	putative transcriptional regulator (TetR/AcrR family)	yvkB	BSU_35200	570	189	yvkB	Information processing#Regulation of gene expression#Transcription factors and their control#Transcription factor/ other/ based on similarity	yvkB	yvkB	yvkC→yvkA
AQZ89558.1	1	GCA_002055965.1	chromosome		CP020102.1	711498	711917	-	AsnC family transcriptional regulator	yezC	B4U62_03745	420	139	CAB12474.2	GCA_000009045.1	chromosome	NA	AL009126.3	711456	711875	-	putative transcriptional regulator (Lrp/AsnC family)	yezC	BSU_06540	420	139	yezC	Information processing#Regulation of gene expression#Transcription factors and their control#Transcription factor/ other/ based on similarity	yezC	yezC	yezC
AQZ92659.1	1	GCA_002055965.1	chromosome		CP020102.1	3883467	3884318	-	NAD(P)-dependent oxidoreductase	spsK	B4U62_20360	852	283	CAB15808.3	GCA_000009045.1	chromosome	NA	AL009126.3	3883427	3884278	-	putative dTDP-4-dehydrorhamnose reductase	spsK	BSU_37820	852	283	spsK	Metabolism#Additional metabolic pathways#Miscellaneous metabolic pathways#Biosynthesis of rhamnose (for the exosporium);Lifestyles#Sporulation#Sporulation proteins#Sporulation proteins/ other	spsK	spsK	spsA→spsL
AQZ91736.1	1	GCA_002055965.1	chromosome		CP020102.1	2906352	2908112	-	succinate dehydrogenase flavoprotein subunit	sdhA	B4U62_15340	1761	586	CAB14804.2	GCA_000009045.1	chromosome	NA	AL009126.3	2906335	2908095	-	succinate dehydrogenase (flavoprotein subunit)	sdhA	BSU_28440	1761	586	sdhA	Metabolism#Carbon metabolism#Carbon core metabolism#TCA cycle;Groups of genes#Membrane proteins;Groups of genes#Phosphoproteins#Phosphorylation on either a Ser, Thr or Tyr residue	sdhA	sdhA;citF	sdhC→sdhB
AQZ91008.1	4	GCA_002055965.1	chromosome		CP020102.1	2227537	2228754	+	hypothetical protein	yonJ	B4U62_11465	1218	405	CAB14025.2	GCA_000009045.1	chromosome	NA	AL009126.3	2227505	2228722	+	"conserved protein of unknown function; phage SPbeta"	yonJ	BSU_21070	1218	405	yonJ	Prophages and mobile genetic elements#Prophages#SP-beta prophage;Groups of genes#Efp-dependent proteins	yonJ	yonJ	yonK→yonH
AQZ91749.1	2	GCA_002055965.1	chromosome		CP020102.1	2920534	2920938	-	hypothetical protein	yshE	B4U62_15410	405	134	CAB14817.1	GCA_000009045.1	chromosome	NA	AL009126.3	2920517	2920921	-	putative integral inner membrane protein	yshE	BSU_28570	405	134	yshE	Groups of genes#Proteins of unknown function	yshE	yshE	zapA→yshE, yshE
AQZ89516.1	2	GCA_002055965.1	chromosome		CP020102.1	664361	664711	+	hypothetical protein	ydjC	B4U62_03530	351	116	CAB12432.1	GCA_000009045.1	chromosome	NA	AL009126.3	664319	664669	+	"conserved hypothetical protein; prophage region 3"	ydjC	BSU_06130	351	116	ydjC	Prophages and mobile genetic elements#Prophages#Prophage 3;Groups of genes#Proteins of unknown function	ydjC	ydjC	ydjC
